"pkid","id_sensor","time","temperature","humidity"
"707","1","2016-11-04 22:25:07","15","69.8"
"709","1","2016-11-04 22:25:27","15","69.2"
"711","1","2016-11-04 22:25:48","15","68.9"
"713","1","2016-11-04 22:26:08","15","68.8"
"715","1","2016-11-04 22:26:28","15","68.6"
"717","1","2016-11-04 22:26:49","15","68.6"
"719","1","2016-11-04 22:27:09","15","68.6"
"721","1","2016-11-04 22:27:29","15","68.6"
"723","1","2016-11-04 22:27:49","15","68.3"
"725","1","2016-11-04 22:28:10","15","67.8"
"727","1","2016-11-04 22:28:30","15","67.5"
"729","1","2016-11-04 22:28:50","15","67.3"
"731","1","2016-11-04 22:29:11","14.9","67.4"
"733","1","2016-11-04 22:29:31","15","67.8"
"735","1","2016-11-04 22:29:51","15","67.7"
"737","1","2016-11-04 22:30:12","15","67.8"
"739","1","2016-11-04 22:30:32","15","67.9"
"741","1","2016-11-04 22:30:52","15","68.2"
"743","1","2016-11-04 22:31:13","15","68.3"
"745","1","2016-11-04 22:31:33","15","68"
"747","1","2016-11-04 22:31:53","15","67.4"
"749","1","2016-11-04 22:32:13","15","67.8"
"751","1","2016-11-04 22:32:34","14.9","67.7"
"753","1","2016-11-04 22:32:54","15","67.5"
"755","1","2016-11-04 22:33:14","15","67.3"
"757","1","2016-11-04 22:33:35","14.9","68.2"
"759","1","2016-11-04 22:33:55","14.9","67.7"
"761","1","2016-11-04 22:34:15","14.9","67.1"
"763","1","2016-11-04 22:34:36","14.9","67.1"
"765","1","2016-11-04 22:34:56","14.9","66.8"
"767","1","2016-11-04 22:35:16","15","66.4"
"769","1","2016-11-04 22:35:37","14.9","66.5"
"771","1","2016-11-04 22:35:57","14.9","67.4"
"773","1","2016-11-04 22:36:17","14.9","67.2"
"775","1","2016-11-04 22:36:38","14.9","67.1"
"777","1","2016-11-04 22:36:58","14.9","66.9"
"779","1","2016-11-04 22:37:18","14.9","66.7"
"780","1","2016-11-05 10:56:15","15.2","93.6"
"781","1","2016-11-05 10:56:36","15.2","94.2"
"782","1","2016-11-05 10:56:56","15.1","94.6"
"783","1","2016-11-05 10:57:16","15.2","95.1"
"785","1","2016-11-05 10:57:37","15.2","95"
"787","1","2016-11-05 10:57:57","15.2","94.9"
"789","1","2016-11-05 10:58:17","15.2","95.3"
"791","1","2016-11-05 10:58:37","15.2","95.1"
"793","1","2016-11-05 10:58:58","15.2","95.3"
"795","1","2016-11-05 10:59:18","15.2","95.5"
"797","1","2016-11-05 10:59:38","15.1","95.6"
"799","1","2016-11-05 10:59:59","15.1","95.5"
"801","1","2016-11-05 11:00:19","15.2","95.5"
"803","1","2016-11-05 11:00:39","15.2","95.2"
"805","1","2016-11-05 11:01:00","15.2","95.2"
"807","1","2016-11-05 11:01:20","15.2","95.1"
"809","1","2016-11-05 11:01:40","15.2","95.2"
"811","1","2016-11-05 11:02:00","15.1","95.3"
"813","1","2016-11-05 11:02:21","15.2","95"
"815","1","2016-11-05 11:02:41","15.1","94.7"
"817","1","2016-11-05 11:03:01","15.1","94.7"
"819","1","2016-11-05 11:03:22","15.1","94.9"
"821","1","2016-11-05 11:03:42","15.1","95"
"823","1","2016-11-05 11:04:02","15.2","94.9"
"825","1","2016-11-05 11:04:23","15.1","94.9"
"827","1","2016-11-05 11:04:43","15.1","95"
"829","1","2016-11-05 11:05:04","15.1","94.6"
"831","1","2016-11-05 11:05:24","15.1","94.5"
"833","1","2016-11-05 11:05:44","15.1","93.7"
"835","1","2016-11-05 11:06:04","15.1","94.2"
"837","1","2016-11-05 11:06:25","15.1","94.2"
"839","1","2016-11-05 11:06:45","15.1","94"
"841","1","2016-11-05 11:07:05","15.1","93.8"
"843","1","2016-11-05 11:07:26","15.1","93.5"
"845","1","2016-11-05 11:07:46","15.1","93.3"
"847","1","2016-11-05 11:08:06","15.1","93.7"
"849","1","2016-11-05 11:08:27","15.1","93.8"
"851","1","2016-11-05 11:08:47","15.1","93.5"
"853","1","2016-11-05 11:09:07","15.1","94.3"
"855","1","2016-11-05 11:09:27","15.1","94.7"
"857","1","2016-11-05 11:09:48","15.1","93.9"
"859","1","2016-11-05 11:10:08","15.1","93.7"
"861","1","2016-11-05 11:10:28","15.1","93.5"
"863","1","2016-11-05 11:10:49","15.1","93.4"
"865","1","2016-11-05 11:11:09","15.1","93.2"
"867","1","2016-11-05 11:11:29","15.1","93.2"
"869","1","2016-11-05 11:11:50","15.1","93.2"
"871","1","2016-11-05 11:12:10","15.1","93.2"
"873","1","2016-11-05 11:12:30","15.1","93.2"
"875","1","2016-11-05 11:12:50","15.1","93.2"
"877","1","2016-11-05 11:13:11","15.1","92.9"
"879","1","2016-11-05 11:13:31","15.1","92.6"
"881","1","2016-11-05 11:13:51","15.1","92.4"
"883","1","2016-11-05 11:14:12","15.1","92.4"
"885","1","2016-11-05 11:14:32","15.1","92.2"
"886","1","2016-11-05 11:14:53","15.1","92.4"
"888","1","2016-11-05 11:15:13","15.1","92.4"
"890","1","2016-11-05 11:15:33","15.1","92.6"
"892","1","2016-11-05 11:15:54","15.1","92.6"
"894","1","2016-11-05 11:16:14","15.1","92.5"
"896","1","2016-11-05 11:16:34","15","92"
"898","1","2016-11-05 11:16:55","15.1","92.4"
"900","1","2016-11-05 11:17:15","15.1","92.3"
"902","1","2016-11-05 11:17:35","15.1","92.8"
"904","1","2016-11-05 11:17:55","15.1","92.2"
"906","1","2016-11-05 11:18:16","15.1","91.9"
"908","1","2016-11-05 11:18:36","15.1","91.8"
"910","1","2016-11-05 11:18:56","15.1","91.7"
"912","1","2016-11-05 11:19:17","15.1","91.6"
"914","1","2016-11-05 11:19:37","15.1","91.7"
"916","1","2016-11-05 11:19:57","15","92.2"
"918","1","2016-11-05 11:20:18","15.1","92.7"
"920","1","2016-11-05 11:20:38","15.1","94.3"
"922","1","2016-11-05 11:20:58","15","94.4"
"924","1","2016-11-05 11:21:18","15.1","93.9"
"926","1","2016-11-05 11:21:39","15","93.6"
"928","1","2016-11-05 11:21:59","15","93.3"
"930","1","2016-11-05 11:22:19","15","92.9"
"932","1","2016-11-05 11:22:40","15","92.6"
"934","1","2016-11-05 11:23:00","15","92.4"
"936","1","2016-11-05 11:23:20","15","92.5"
"938","1","2016-11-05 11:23:41","15","92.1"
"940","1","2016-11-05 11:24:01","15","92.2"
"942","1","2016-11-05 11:24:21","15","92.3"
"944","1","2016-11-05 11:24:41","15","92.1"
"946","1","2016-11-05 11:25:02","15.1","92.1"
"948","1","2016-11-05 11:25:22","15","92.1"
"950","1","2016-11-05 11:25:42","15","92.1"
"952","1","2016-11-05 11:26:03","15","92.2"
"954","1","2016-11-05 11:26:23","15","92.1"
"956","1","2016-11-05 11:26:43","15","91.9"
"958","1","2016-11-05 11:27:04","15","92.4"
"960","1","2016-11-05 11:27:24","15","91.3"
"962","1","2016-11-05 11:27:44","15","91.1"
"964","1","2016-11-05 11:28:05","15","91.1"
"966","1","2016-11-05 11:28:25","15","91.8"
"968","1","2016-11-05 11:28:45","15","91.1"
"970","1","2016-11-05 11:29:05","15","91.8"
"972","1","2016-11-05 11:29:26","15","91.3"
"974","1","2016-11-05 11:29:46","15","91.2"
"976","1","2016-11-05 11:30:06","15","91.2"
"978","1","2016-11-05 11:30:27","15","91.1"
"980","1","2016-11-05 11:30:47","15","90.5"
"982","1","2016-11-05 11:31:07","15","90.6"
"984","1","2016-11-05 11:31:28","15","90.5"
"986","1","2016-11-05 11:31:48","15","90.3"
"988","1","2016-11-05 11:32:08","15","90.2"
"990","1","2016-11-05 11:32:28","15","90.7"
"992","1","2016-11-05 11:32:49","15","91.6"
"994","1","2016-11-05 11:33:09","15","91.6"
"996","1","2016-11-05 11:33:29","15","91.6"
"998","1","2016-11-05 11:33:50","15","91.3"
"1000","1","2016-11-05 11:34:10","15","91"
"1002","1","2016-11-05 11:34:30","15","90.7"
"1004","1","2016-11-05 11:34:51","15","90.1"
"1006","1","2016-11-05 11:35:11","15","90"
"1008","1","2016-11-05 11:35:31","15","90"
"1010","1","2016-11-05 11:35:51","15","89.6"
"1012","1","2016-11-05 11:36:12","15","89"
"1014","1","2016-11-05 11:36:32","15","89"
"1016","1","2016-11-05 11:36:52","15","89.3"
"1018","1","2016-11-05 11:37:13","15","89.4"
"1020","1","2016-11-05 11:37:33","15","88.6"
"1022","1","2016-11-05 11:37:53","15","88.7"
"1024","1","2016-11-05 11:38:14","15","89"
"1026","1","2016-11-05 11:38:34","15","89.3"
"1028","1","2016-11-05 11:38:54","15","89.8"
"1030","1","2016-11-05 11:39:15","15","89.1"
"1032","1","2016-11-05 11:39:35","15","89.2"
"1034","1","2016-11-05 11:39:55","15","89.3"
"1036","1","2016-11-05 11:40:15","15","89.1"
"1038","1","2016-11-05 11:40:36","15","89"
"1040","1","2016-11-05 11:40:56","15","88.6"
"1042","1","2016-11-05 11:41:16","15","88.2"
"1044","1","2016-11-05 11:41:37","15","88.1"
"1046","1","2016-11-05 11:41:57","15","88.1"
"1048","1","2016-11-05 11:42:17","15","88.1"
"1050","1","2016-11-05 11:42:37","15","87.9"
"1052","1","2016-11-05 11:42:58","15","88.1"
"1054","1","2016-11-05 11:43:18","15","88"
